hash,from,to,value,gas_price
e24e578874d01ca4b25ba7f9e0f44440c60042792df7918ec8882e87da587dc2,0x8A70593054706247Fe4BF15897438389C9e6f307,0xDb48Ee7380a4aC34F142039B92A0d5202E5432D8,0.0,44.212817929
cef3aeda75d11660619350a234b1d59083d14844e06d0cd54a25ef1a04633c94,0x9642b23Ed1E01Df1092B92641051881a322F5D4E,0xfaf17849fb05a11a4E233f221bAc99CA43Fc83f8,0.0,12.912670347
9c6df4443eab1fb86740d0d2001e51df68206bb7232770db7ce7d0c6cdb96fb8,0xB6744Df36dC47c5A95728396726F5765b8E24965,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0.08,10.737882642
f70c74e3589b93941bf778be45044aa4ccf2bb774a84acc5aada55849931477b,0xa009fa1aC416Ec02f6f902a3A4A584B092AE6123,0xfbEedCFe378866DaB6abbaFd8B2986F5C1768737,2.1622993e-11,8.561553321
03cac92bc0b5c1d1193f70ffe6726a57bcfbf5313b4a37bd8ca58b4fbb75a62a,0xDa1fC9dF04F6DfaB3b2913C3DFB42EE1869d4081,0x8CC51c532f5A71210D19d87D3d8a1E6F50AD583c,0.46,10.561553321
f73030b7ed4caf29a24a2b54199b82b54c50379acc9dddb74e20128a63e9bc61,0x8Eb783ff3A9bc252e5a908CE4A5e29877dF85Bd8,0x8CC51c532f5A71210D19d87D3d8a1E6F50AD583c,0.03,10.561553321
9c7a8b30e273b927b3046f0c285a6651b3612bd930fc307830d4eb8148ac2284,0x555CE236C0220695b68341bc48C68d52210cC35b,0x663DC15D3C1aC63ff12E45Ab68FeA3F0a883C251,0.0,10.501553321
71dd9e9ac970993a2e80e02f9859b453a2cf23cbb40886c7e9fcad11bae854e4,0xEeAF25aD4f51fE2f57Be2F206C9d8A568A618b99,0x5c7BCd6E7De5423a257D81B442095A1a6ced35C5,0.0,14.458254485
7898b3909c3b5692311c36db61b82c23465fe860898990341481ebc660a76885,0x147B12C06D9e8e3837280F783Fd8070848D4412e,0x5c7BCd6E7De5423a257D81B442095A1a6ced35C5,0.0,14.42633285
097327287f9007a710be1d49fc9b45f6375ff9ec5386e66bf6201ef81c999673,0x19A2D42166bE109E86ff188ba7494FE10d12Efc2,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0.0,10.561553321
9f6cc5a1459c6938b0dbce2171cdff3c8e1be692dbe6eca460c9c8a76d2c5306,0x24a42D2a715BAcB4eB59daE5B219C8dAA2D4fd55,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0.08,10.561553321
bbf2cefe868fba4f318787cff200eb2555ca2c8039d05b23a3724e493b200260,0x095641a29FFEfA77072E13ee7530c7bE681AF344,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0.02,10.561553321
99ad18eb9cb3c85672a53c83db6797cbd042da3e61e621bba2942d710f4b8bda,0x875E3b886f042932C575d82386a478152AA7bd42,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0.5145781812846475,10.664220412
